round,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,lr,next_lr,bad_rounds,is_best,duration_seconds,participating_clients,processed_examples,optimizer_steps,skipped_optimizer_steps,payload_bytes
30,0.017840954567814264,0.9946947501781613,0.03838584758466039,0.9874568260316307,0.9818547083293009,0.005,0.005,0,True,173.86984038352966,10,37887,2353,19,125518880
31,0.018909733819914423,0.9946947501781613,0.03938118231059375,0.9854571896018905,0.9807261485076119,0.005,0.005,1,False,175.47196078300476,10,37887,2350,22,125518880
32,0.016878015731450344,0.9954865785097791,0.03511392294519745,0.9890928922014179,0.9841978869824498,0.005,0.005,0,True,171.12480545043945,10,37887,2354,18,125518880
33,0.01706767151885332,0.9950378757885291,0.034848470437345055,0.9883657516815124,0.9837577789561669,0.005,0.005,0,True,172.0759198665619,10,37887,2352,20,125518880
34,0.016985678527556062,0.9952490300102937,0.03939179011186489,0.9867296855117251,0.9822878282100577,0.005,0.005,1,False,169.34323596954346,10,37887,2353,19,125518880
35,0.017586338050730482,0.9945363845118378,0.03483889604901316,0.9887293219414652,0.9844451669404556,0.005,0.005,2,True,177.8840048313141,10,37887,2351,21,125518880
36,0.018035057674683243,0.9949322986776467,0.033276151631062185,0.989638247591347,0.9857886236210994,0.005,0.005,0,True,170.71872115135193,10,37887,2354,18,125518880
37,0.016478923618822458,0.995301818565735,0.03511124928519203,0.9883657516815124,0.9841163618362891,0.005,0.005,1,False,168.64846682548523,10,37887,2351,21,125518880
38,0.0163710616674262,0.9955657613429408,0.03449818552540317,0.9889111070714416,0.9850607612390331,0.005,0.005,2,False,168.55398297309875,10,37887,2353,19,125518880
39,0.015303667026381232,0.9957505212869849,0.033051875677776725,0.9889111070714416,0.9847225518381628,0.005,0.005,0,True,169.16861391067505,10,37887,2352,20,125518880
40,0.016332720269108713,0.9950906643439702,0.03645644566931865,0.9881839665515361,0.9838051730900643,0.005,0.005,1,False,165.8053915500641,10,37887,2352,20,125518880
41,0.015303495656930692,0.9958297041201467,0.030406731148946757,0.9907289583712052,0.9868193791065277,0.005,0.005,0,True,170.7608711719513,10,37887,2354,18,125518880
42,0.01514737451031794,0.9955393670652203,0.029208998884023347,0.9910925286311579,0.987430147118492,0.005,0.005,0,True,167.5338749885559,10,37887,2354,18,125518880
43,0.015390472665312563,0.9959088869533085,0.030838373095629184,0.9900018178512998,0.9860523166236351,0.005,0.005,1,False,169.2546238899231,10,37887,2355,17,125518880
44,0.015269268442279599,0.9954601842320585,0.030093715158618597,0.9912743137611343,0.9875597160134537,0.005,0.005,2,False,177.93749809265137,10,37887,2352,20,125518880
45,0.014545169164129268,0.9960408583419115,0.03414343094652744,0.9894564624613706,0.9841906541781498,0.005,0.005,3,False,177.74849200248718,10,37887,2353,19,125518880
46,0.013486932036891183,0.9964103782299998,0.033435124254797666,0.9892746773313943,0.9842522547878014,0.005,0.0025,4,False,179.6144449710846,10,37887,2355,17,125518880
47,0.01645583647016748,0.9951170586216909,0.029984608761529735,0.9916378840210871,0.988136955439095,0.0025,0.0025,5,False,174.7508900165558,10,37887,2352,20,125518880
48,0.015659621527461906,0.9959880697864703,0.03104513602081438,0.9901836029812762,0.9864048797193338,0.0025,0.0025,6,False,171.52499198913574,10,37887,2355,17,125518880
49,0.0165307905527882,0.9950906643439702,0.03086207258125658,0.9907289583712052,0.9868130096347729,0.0025,0.0025,7,False,175.3878436088562,10,37887,2354,18,125518880
50,0.01613115995961921,0.9955393670652203,0.0300846416730067,0.9905471732412289,0.9865823104475634,0.0025,0.00125,8,False,172.54015803337097,10,37887,2352,20,125518880
51,0.01960476196444604,0.9945363845118378,0.029121394778223522,0.9912743137611343,0.9874472489852321,0.00125,0.00125,9,True,174.65729546546936,10,37887,2349,23,125518880
52,0.018552622452158538,0.9950906643439702,0.02832177343110665,0.9916378840210871,0.9879396261578764,0.00125,0.00125,0,True,170.86386036872864,10,37887,2350,22,125518880
53,0.018689862792730126,0.9949850872330879,0.029107221253248647,0.9916378840210871,0.9880839876501637,0.00125,0.00125,1,False,175.10029697418213,10,37887,2349,23,125518880
54,0.017906809713414764,0.9955921556206614,0.028519768933954043,0.9914560988911107,0.9877813106576738,0.00125,0.00125,2,False,168.953782081604,10,37887,2354,18,125518880
55,0.01898482337495405,0.9944308074009555,0.02871941556681277,0.9916378840210871,0.9880669999658662,0.00125,0.00125,3,False,169.31326389312744,10,37887,2352,20,125518880
56,0.017302616259285235,0.9956977327315438,0.02981066826475169,0.9918196691510635,0.9886264886692009,0.00125,0.000625,4,False,170.90229725837708,10,37887,2350,22,125518880
57,0.023442500860000836,0.9941668646237496,0.028753703303146402,0.9918196691510635,0.9886264886692009,0.000625,0.000625,5,False,172.65080666542053,10,37887,2353,19,125518880
58,0.02414662969270189,0.9936389790693377,0.028564589098046954,0.9920014542810398,0.9885325018771243,0.000625,0.000625,6,False,176.09054684638977,10,37887,2350,22,125518880
59,0.022512642813807545,0.9948267215667643,0.028810450285213753,0.9920014542810398,0.9887039126467849,0.000625,0.000625,7,False,177.53732228279114,10,37887,2352,20,125518880
60,0.023798001221550298,0.994008498957426,0.028393455693696695,0.9920014542810398,0.9887411969248482,0.000625,0.0003125,8,False,172.13172125816345,10,37887,2350,22,125518880
61,0.02943535461549382,0.9920553224061024,0.02841382680973056,0.9918196691510635,0.9885168233521312,0.0003125,0.0003125,9,False,175.60843873023987,10,37887,2349,23,125518880
62,0.02844908826853559,0.9925040251273524,0.02844301116934339,0.9916378840210871,0.9883160949520224,0.0003125,0.0003125,10,False,172.8397879600525,10,37887,2352,20,125518880
